label_id,label_name,sample_count,mean_cosine_distance_across_perturbations,strongest_perturbation,strongest_mean_cosine_distance,motion_group_mean_cosine_distance,appearance_group_mean_cosine_distance
48,Turning the camera right while filming something,30,0.044557844870723784,temporal_shuffle,0.08931627869606018,0.06577627453953028,0.0021209855331107974
47,Turning the camera left while filming something,30,0.038753998815082014,temporal_shuffle,0.07949905097484589,0.05713177705183625,0.0019984423415735364
42,Throwing something in the air and letting it fall,30,0.02694305843518426,single_frame,0.06579209119081497,0.039147913455963135,0.002533348393626511
10,Lifting something up completely without letting it drop down,30,0.015514521393924952,temporal_shuffle,0.03918462246656418,0.022117549553513527,0.002308465074747801
2,Covering something with something,30,0.014964834282485148,single_frame,0.03597484529018402,0.02114941691979766,0.002595669007860124
16,Moving something up,30,0.014961304181876281,temporal_shuffle,0.031177056953310966,0.02126069401856512,0.002362524508498609
8,Letting something roll along a flat surface,30,0.014727193571161479,single_frame,0.03130774199962616,0.020853371592238545,0.0024748375290073454
12,Moving something across a surface until it falls down,30,0.014556416543200612,temporal_shuffle,0.03126231208443642,0.02054595050867647,0.0025773486122488976
31,Pushing something onto something,30,0.01362220838200301,temporal_shuffle,0.030420731753110886,0.019114381982944906,0.0026378611801192164
36,Putting something underneath something,30,0.013136677288760742,single_frame,0.03245197609066963,0.01855555281508714,0.0022989262361079454
29,Pulling something from behind of something,30,0.012844987795688212,temporal_shuffle,0.030484948307275772,0.018023471697233617,0.002488019992597401
24,Pretending or failing to wipe something off of something,30,0.012298318208195269,single_frame,0.03221451863646507,0.017359591205604374,0.0021757722133770585
30,Pushing something off of something,30,0.01227652836435785,temporal_shuffle,0.02875737100839615,0.017223535105586052,0.002382514881901443
15,Moving something away from the camera,30,0.01212522117809082,single_frame,0.028139887377619743,0.01713058294262737,0.0021144976490177214
11,Lifting something with something on it,30,0.012012001243419945,temporal_shuffle,0.02883921191096306,0.016708353185094893,0.0026192973600700498
35,"Putting something that cannot actually stand upright upright on the table, so it falls on its side",30,0.011616739017578462,temporal_shuffle,0.027092792093753815,0.016446673427708447,0.0019568701973184943
49,Unfolding something,30,0.011504102653513351,single_frame,0.02832919731736183,0.015915859607048333,0.002680588746443391
43,"Tipping something with something in it over, so something in it falls out",30,0.010955177480354905,temporal_shuffle,0.02410377934575081,0.015308911679312587,0.002247709082439542
32,Putting number of something onto something,30,0.010741563281044364,single_frame,0.02511969394981861,0.014983248198404908,0.0022581934463232756
27,Pretending to put something onto something,30,0.010709124326240271,single_frame,0.024197738617658615,0.014928725664503872,0.002269921649713069
